Bus,MessageID,Message,MessageLength,Time
2,0x45a,0x5a008000000f0f0f,8,4.098705053329468
0,0x45a,0x5a008000000f0f0f,8,4.098743200302124
2,0x45a,0x5a008000000f0f0f,8,4.098932266235352
0,0x45a,0x5a008000000f0f0f,8,4.098936080932617
2,0x45a,0x5a008000000f0f0f,8,4.099182844161987
0,0x45a,0x5a008000000f0f0f,8,4.099186182022095
2,0x45a,0x5a008000000f0f0f,8,4.099459409713745
0,0x45a,0x5a008000000f0f0f,8,4.099462270736694
2,0x45a,0x5a008000000f0f0f,8,4.0998899936676025
0,0x45a,0x5a008000000f0f0f,8,4.099901437759399
2,0x45a,0x5a008000000f0f0f,8,4.100107431411743
0,0x45a,0x5a008000000f0f0f,8,4.100117444992065
2,0x45a,0x5a008000000f0f0f,8,4.100298643112183
0,0x45a,0x5a008000000f0f0f,8,4.100308895111084
2,0x45a,0x5a008000000f0f0f,8,4.100661754608154
0,0x45a,0x5a008000000f0f0f,8,4.100673675537109
2,0x45a,0x5a008000000f0f0f,8,4.100860595703125
0,0x45a,0x5a008000000f0f0f,8,4.1008641719818115
2,0x45a,0x5a008000000f0f0f,8,4.101100206375122
0,0x45a,0x5a008000000f0f0f,8,4.101104974746704
2,0x45a,0x5a008000000f0f0f,8,4.101352214813232
0,0x45a,0x5a008000000f0f0f,8,4.101457834243774
2,0x45a,0x5a008000000f0f0f,8,4.1015753746032715
0,0x45a,0x5a008000000f0f0f,8,4.101578712463379
2,0x45a,0x5a008000000f0f0f,8,4.101907968521118
0,0x45a,0x5a008000000f0f0f,8,4.101912260055542
2,0x45a,0x5a008000000f0f0f,8,4.102152347564697
0,0x45a,0x5a008000000f0f0f,8,4.102155447006226
2,0x45a,0x5a008000000f0f0f,8,4.102452993392944
0,0x45a,0x5a008000000f0f0f,8,4.102456092834473
2,0x45a,0x5a008000000f0f0f,8,4.102647066116333
0,0x45a,0x5a008000000f0f0f,8,4.102651834487915
2,0x45a,0x5a008000000f0f0f,8,4.102916717529297
0,0x45a,0x5a008000000f0f0f,8,4.1029229164123535
2,0x45a,0x5a008000000f0f0f,8,4.10319709777832
0,0x45a,0x5a008000000f0f0f,8,4.103201389312744
2,0x45a,0x5a008000000f0f0f,8,4.1034510135650635
0,0x45a,0x5a008000000f0f0f,8,4.103454351425171
2,0x45a,0x5a008000000f0f0f,8,4.103782415390015
0,0x45a,0x5a008000000f0f0f,8,4.1037867069244385
2,0x45a,0x5a008000000f0f0f,8,4.104032039642334
0,0x45a,0x5a008000000f0f0f,8,4.1040356159210205
2,0x45a,0x5a008000000f0f0f,8,4.1043860912323
0,0x45a,0x5a008000000f0f0f,8,4.104390859603882
2,0x45a,0x5a008000000f0f0f,8,4.104498863220215
0,0x45a,0x5a008000000f0f0f,8,4.104501962661743
2,0x45a,0x5a008000000f0f0f,8,4.104758977890015
0,0x45a,0x5a008000000f0f0f,8,4.104762077331543
2,0x45a,0x5a008000000f0f0f,8,4.104993104934692
0,0x45a,0x5a008000000f0f0f,8,4.105089902877808
2,0x45a,0x5a008000000f0f0f,8,4.105361223220825
0,0x45a,0x5a008000000f0f0f,8,4.105365991592407
2,0x45a,0x5a008000000f0f0f,8,4.105544090270996
0,0x45a,0x5a008000000f0f0f,8,4.105547189712524
2,0x45a,0x5a008000000f0f0f,8,4.105865240097046
0,0x45a,0x5a008000000f0f0f,8,4.105869770050049
2,0x45a,0x5a008000000f0f0f,8,4.106232643127441
0,0x45a,0x5a008000000f0f0f,8,4.106236696243286
2,0x45a,0x5a008000000f0f0f,8,4.106386423110962
0,0x45a,0x5a008000000f0f0f,8,4.10638952255249
2,0x45a,0x5a008000000f0f0f,8,4.1067328453063965
0,0x45a,0x5a008000000f0f0f,8,4.106737375259399
2,0x45a,0x5a008000000f0f0f,8,4.106916666030884
0,0x45a,0x5a008000000f0f0f,8,4.106920003890991
2,0x45a,0x5a008000000f0f0f,8,4.10714316368103
0,0x45a,0x5a008000000f0f0f,8,4.107146263122559
2,0x45a,0x5a008000000f0f0f,8,4.107485055923462
0,0x45a,0x5a008000000f0f0f,8,4.107489585876465
2,0x45a,0x5a008000000f0f0f,8,4.1076884269714355
0,0x45a,0x5a008000000f0f0f,8,4.107691526412964
2,0x45a,0x5a008000000f0f0f,8,4.107927560806274
0,0x45a,0x5a008000000f0f0f,8,4.108032703399658
